ID_REF  VALUE   PLIER
1552649_a_at    0.7440283       0.72384506
1552651_a_at    0.8227533       0.9452204
1552652_at      1.2215998       1.3191583
1552656_s_at    0.54865414      0.7673244
1552657_a_at    0.5697913       1.0232009
1552658_a_at    0.47650146      0.53271407
1552660_a_at    0.19272956      0.3681575
1552661_at      1.0230684       0.19048062
1552662_a_at    1.4402171       1.1077001
1552663_a_at    0.8914193       0.9873732
1552664_at      0.700097        0.65908754
1552665_at      0.5452015       0.9534394
1552666_a_at    0.60202867      0.5354564
1552667_a_at    0.6534935       0.6762206
1552669_at      0.4777079       0.8878877
1552670_a_at    0.8482645       0.7118372
1552671_a_at    1.3500279       0.8716919
1552672_a_at    0.44568935      0.91482234
1552673_at      0.46702203      0.9604687
1552674_at      0.9581781       1.0262349
1552675_at      0.6984595       0.7326367
1552676_at      0.5936967       0.8422935
1552677_a_at    1.0636052       1.0868719
1552678_a_at    0.70476824      0.7992974
1552680_a_at    0.49550295      0.733361
1552682_a_at    0.45092946      1.1248204
1552684_a_at    0.6939968       0.6542387
1552685_a_at    0.51707083      0.6801983
1552686_at      1.0499367       1.2223446
1552687_a_at    0.5189263       1.1974221
1552689_at      0.9437611       0.9023121
1552690_a_at    0.41214874      0.8056323
1552691_at      0.83766204      0.45734918
1552693_at      0.65213656      0.63101906
1552694_at      0.7400741       0.5153739
1552695_a_at    0.8285746       0.7389837
1552696_at      0.9206518       0.7422083
1552698_at      1.0364124       1.0075086
1552701_a_at    1.8342373       1.4473805
1552703_s_at    0.95849717      1.3422061
1552705_at      0.9915823       0.83333206
1552708_a_at    0.9146907       0.52177286
1552711_a_at    0.8046296       0.81142145
1552712_a_at    0.7794543       0.90352386
1552713_a_at    0.500573        1
1552714_at      0.1786989       0.23259382
1552715_a_at    0.075384915     0.11179476
1552716_at      0.99935114      1.1111207
1552717_s_at    0.371044        0.35690016
1552718_at      0.68735605      1.4221383
1552719_at      1.3004942       1.1469222
1552721_a_at    2.6876073       2.094643
1552722_at      0.28215393      0.26335925
1552724_at      0.9242488       1.1458706
1552725_s_at    1.0068455       0.93148524
1552726_at      0.9713881       0.8775205
1552727_s_at    1.4985234       1.0757531
